1434002,18-nov, total cases according to johns hopkins uni,
,,,
,23-mar,start of lockdown,11
,04-jul,end of lockdown 1,103
,05-nov,start lockdown 2,238
,03-dic,end of lockdown 1,266
590 cases,12-mar,t0,
